@relation arffFile

@attribute <F:142;N:112> {?,1}
@attribute <F:142;N:311> {?,1}
@attribute <F:142;N:141> {?,1}
@attribute <F:311;N:112> {?,1}
@attribute <F:311;N:142> {?,1}
@attribute <F:311;N:141> {?,1}
@attribute <F:121;N:112> {?,1}
@attribute <F:111;N:112> {?,1}
@attribute <F:112;N:122> {?,1}
@attribute <F:112;N:142> {?,1}
@attribute <F:112;N:121> {?,1}
@attribute <F:112;N:141> {?,1}
@attribute <F:112;N:242> {?,1}
@attribute <F:112;N:111> {?,1}
@attribute <F:112;N:512> {?,1}
@attribute <F:112;N:511> {?,1}
@attribute <F:112;N:311> {?,1}
@attribute <F:112;N:211> {?,1}
@attribute <F:141;N:112> {?,1}
@attribute <F:141;N:142> {?,1}
@attribute <F:141;N:121> {?,1}
@attribute <F:141;N:111> {?,1}
@attribute <F:111;N:122> {?,1}
@attribute <F:111;N:141> {?,1}
@attribute <F:111;N:121> {?,1}
@attribute <F:111;N:142> {?,1}
@attribute <F:111;N:511> {?,1}
@attribute <F:121;N:511> {?,1}
@attribute <F:121;N:122> {?,1}
@attribute <F:122;N:121> {?,1}
@attribute <F:122;N:111> {?,1}
@attribute <F:122;N:112> {?,1}
@attribute <F:122;N:511> {?,1}
@attribute <F:122;N:141> {?,1}
@attribute <F:142;N:122> {?,1}
@attribute <F:142;N:111> {?,1}
@attribute <F:121;N:141> {?,1}
@attribute <F:121;N:111> {?,1}
@attribute <F:121;N:142> {?,1}
@attribute <F:142;N:121> {?,1}
@attribute <F:142;N:512> {?,1}
@attribute <F:121;N:133> {?,1}
@attribute <F:133;N:511> {?,1}
@attribute <F:133;N:121> {?,1}
@attribute <F:511;N:112> {?,1}
@attribute <F:511;N:141> {?,1}
@attribute <F:511;N:111> {?,1}
@attribute <F:511;N:121> {?,1}
@attribute <F:511;N:122> {?,1}
@attribute <F:511;N:142> {?,1}
@attribute <F:511;N:133> {?,1}
@attribute <F:141;N:511> {?,1}
@attribute <F:111;N:133> {?,1}
@attribute <F:122;N:142> {?,1}
@attribute <F:133;N:112> {?,1}
@attribute <F:133;N:111> {?,1}
@attribute <F:112;N:133> {?,1}
@attribute <F:123;N:121> {?,1}
@attribute <F:123;N:112> {?,1}
@attribute <F:123;N:133> {?,1}
@attribute <F:121;N:123> {?,1}
@attribute <F:133;N:141> {?,1}
@attribute <F:133;N:123> {?,1}
@attribute <F:133;N:142> {?,1}
@attribute <F:242;N:122> {?,1}
@attribute <F:242;N:142> {?,1}
@attribute <F:242;N:112> {?,1}
@attribute <F:112;N:123> {?,1}
@attribute <F:141;N:122> {?,1}
@attribute <F:142;N:511> {?,1}
@attribute <F:211;N:112> {?,1}
@attribute <F:121;N:512> {?,1}
@attribute <F:222;N:112> {?,1}
@attribute <F:512;N:142> {?,1}
@attribute <F:512;N:112> {?,1}
@attribute <F:512;N:121> {?,1}
@attribute <F:141;N:133> {?,1}
@attribute <F:142;N:133> {?,1}
@attribute <F:121;N:121> {?,1}
@attribute <F:122;N:242> {?,1}
@attribute <F:141;N:512> {?,1}
@attribute <F:142;N:242> {?,1}
@attribute <S:142> {?,1}
@attribute <S:121> {?,1}
@attribute <S:111> {?,1}
@attribute <S:112> {?,1}
@attribute <S:122> {?,1}
@attribute <S:311> {?,1}
@attribute <S:511> {?,1}
@attribute <S:141> {?,1}
@attribute <S:242> {?,1}
@attribute <S:211> {?,1}
@attribute <S:123> {?,1}
@attribute <S:512> {?,1}
@attribute <SP:142-142> {?,1}
@attribute <SP:142-311> {?,1}
@attribute <SP:142-112> {?,1}
@attribute <SP:142-141> {?,1}
@attribute <SP:121-121> {?,1}
@attribute <SP:121-122> {?,1}
@attribute <SP:142-111> {?,1}
@attribute <SP:142-121> {?,1}
@attribute <SP:121-133> {?,1}
@attribute <SP:121-511> {?,1}
@attribute <SP:121-112> {?,1}
@attribute <SP:141-141> {?,1}
@attribute <SP:141-111> {?,1}
@attribute <SP:141-511> {?,1}
@attribute <SP:141-121> {?,1}
@attribute <SP:122-142> {?,1}
@attribute <SP:122-122> {?,1}
@attribute <SP:122-112> {?,1}
@attribute <SP:142-122> {?,1}
@attribute <SP:121-111> {?,1}
@attribute <SP:111-141> {?,1}
@attribute <SP:111-133> {?,1}
@attribute <SP:111-111> {?,1}
@attribute <SP:111-511> {?,1}
@attribute <SP:111-112> {?,1}
@attribute <SP:121-141> {?,1}
@attribute <SP:123-123> {?,1}
@attribute <SP:123-133> {?,1}
@attribute <SP:123-121> {?,1}
@attribute <SP:123-112> {?,1}
@attribute <SP:311-311> {?,1}
@attribute <SP:311-142> {?,1}
@attribute <SP:311-112> {?,1}
@attribute <SP:141-112> {?,1}
@attribute <SP:122-141> {?,1}
@attribute <SP:122-111> {?,1}
@attribute <SP:141-122> {?,1}
@attribute <SP:122-121> {?,1}
@attribute <SP:222-211> {?,1}
@attribute <SP:222-112> {?,1}
@attribute <SP:121-512> {?,1}
@attribute <SP:512-121> {?,1}
@attribute <SP:512-512> {?,1}
@attribute <SP:512-112> {?,1}
@attribute <SP:142-512> {?,1}
@attribute <SP:112-121> {?,1}
@attribute <SP:112-111> {?,1}
@attribute <SP:112-112> {?,1}
@attribute <SP:112-142> {?,1}
@attribute <SP:112-141> {?,1}
@attribute <SP:112-122> {?,1}
@attribute <SP:112-511> {?,1}
@attribute <SP:141-142> {?,1}
@attribute <SP:121-142> {?,1}
@attribute <SP:133-141> {?,1}
@attribute <SP:133-133> {?,1}
@attribute <SP:133-121> {?,1}
@attribute <SP:133-142> {?,1}
@attribute <SP:141-133> {?,1}
@attribute <SP:111-121> {?,1}
@attribute <SP:111-142> {?,1}
@attribute <SP:121-123> {?,1}
@attribute <SP:112-123> {?,1}
@attribute <SP:142-133> {?,1}
@attribute <SP:122-511> {?,1}
@attribute <SP:111-122> {?,1}
@attribute <SP:122-242> {?,1}
@data
1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, 1, 1, 1, 1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, 1, 1, 1, 1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, ?, 1, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, ?, 1, ?, ?, ?, ?, ?, 1, 1, 1, 1, 1, 1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
1, ?, 1, ?, ?, ?, ?, ?, 1, 1, 1, 1, 1, 1, 1, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
